nohup: ignoring input
 Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|█████     | 1/2 [00:05<00:05,  5.20s/it] Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.22s/it] Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.52s/it]
Found cached dataset csv (/data/jc/hf/mrm8488___csv/mrm8488--fake-news-d4fd5c02f3284619/0.0.0/6954658bab30a358235fa864b05cf819af0e179325c740e4bc853bcc7ec513e1)
/home/jkl6486/miniconda3/envs/sbit/lib/python3.11/site-packages/transformers/optimization.py:457: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
Epoch 0, Loss: 0.962150514125824
Epoch 0, Loss: 1.8347718715667725
Epoch 0, Loss: 1.8738036155700684
Epoch 0, Loss: 1.4962117671966553
Epoch 0, Loss: 1.8419389724731445
Epoch 0, Loss: 1.4403505325317383
Epoch 0, Loss: 1.424675464630127
Epoch 0, Loss: 2.19232439994812
Epoch 0, Loss: 1.664669394493103
Epoch 0, Loss: 1.8450303077697754
Epoch 0, Loss: 1.8399114608764648
Epoch 0, Loss: 1.3137613534927368
Epoch 0, Loss: 1.2760502099990845
Epoch 0, Loss: 2.09304141998291
Epoch 0, Loss: 0.9729373455047607
Epoch 0, Loss: 1.1084928512573242
Epoch 0, Loss: 1.6732709407806396
Epoch 0, Loss: 1.6370556354522705
Epoch 0, Loss: 1.7315101623535156
Epoch 0, Loss: 1.6608213186264038
Epoch 0, Loss: 1.7967811822891235
  6%|▋         | 728/11225 [32:42<7:46:52,  2.67s/it]  6%|▋         | 729/11225 [32:44<7:39:51,  2.63s/it]  7%|▋         | 730/11225 [32:47<7:35:02,  2.60s/it]  7%|▋         | 731/11225 [32:50<7:31:20,  2.58s/it]  7%|▋         | 732/11225 [32:52<7:30:29,  2.58s/it]  7%|▋         | 733/11225 [32:55<7:29:43,  2.57s/it]  7%|▋         | 734/11225 [32:57<7:28:58,  2.57s/it]  7%|▋         | 735/11225 [33:00<7:28:26,  2.57s/it]  7%|▋         | 736/11225 [33:02<7:28:01,  2.56s/it]  7%|▋         | 737/11225 [33:05<7:27:43,  2.56s/it]  7%|▋         | 738/11225 [33:08<7:36:07,  2.61s/it]  7%|▋         | 739/11225 [33:10<7:44:19,  2.66s/it]  7%|▋         | 740/11225 [33:13<7:52:10,  2.70s/it]  7%|▋         | 741/11225 [33:16<7:59:22,  2.74s/it]  7%|▋         | 742/11225 [33:19<8:00:31,  2.75s/it]  7%|▋         | 743/11225 [33:22<8:05:26,  2.78s/it]  7%|▋         | 744/11225 [33:25<8:10:04,  2.81s/it]  7%|▋         | 745/11225 [33:27<8:16:52,  2.84s/it]  7%|▋         | 746/11225 [33:30<8:22:26,  2.88s/it]  7%|▋         | 747/11225 [33:33<8:26:20,  2.90s/it]  7%|▋         | 748/11225 [33:36<8:18:40,  2.86s/it]  7%|▋         | 749/11225 [33:39<8:05:55,  2.78s/it]  7%|▋         | 750/11225 [33:42<8:10:02,  2.81s/it]  7%|▋         | 751/11225 [33:44<8:07:21,  2.79s/it]  7%|▋         | 752/11225 [33:47<8:09:19,  2.80s/it]  7%|▋         | 753/11225 [33:50<8:12:45,  2.82s/it]  7%|▋         | 754/11225 [33:53<8:14:40,  2.83s/it]  7%|▋         | 755/11225 [33:56<8:14:04,  2.83s/it]  7%|▋         | 756/11225 [33:58<7:59:32,  2.75s/it]  7%|▋         | 757/11225 [34:01<7:45:49,  2.67s/it]  7%|▋         | 758/11225 [34:03<7:38:59,  2.63s/it]  7%|▋         | 759/11225 [34:06<7:34:08,  2.60s/it]  7%|▋         | 760/11225 [34:08<7:31:09,  2.59s/it]  7%|▋         | 761/11225 [34:11<7:30:01,  2.58s/it]  7%|▋         | 762/11225 [34:14<7:28:53,  2.57s/it]  7%|▋         | 763/11225 [34:16<7:27:59,  2.57s/it]  7%|▋         | 764/11225 [34:19<7:27:23,  2.57s/it]  7%|▋         | 765/11225 [34:21<7:27:09,  2.56s/it]  7%|▋         | 766/11225 [34:24<7:47:38,  2.68s/it]  7%|▋         | 767/11225 [34:27<8:12:54,  2.83s/it]  7%|▋         | 768/11225 [34:30<8:21:58,  2.88s/it]  7%|▋         | 769/11225 [34:33<8:18:08,  2.86s/it]  7%|▋         | 770/11225 [34:36<8:17:03,  2.85s/it]  7%|▋         | 771/11225 [34:39<8:15:02,  2.84s/it]  7%|▋         | 772/11225 [34:42<8:13:14,  2.83s/it]  7%|▋         | 773/11225 [34:44<8:12:27,  2.83s/it]  7%|▋         | 774/11225 [34:47<8:13:55,  2.84s/it]  7%|▋         | 775/11225 [34:50<8:16:00,  2.85s/it]  7%|▋         | 776/11225 [34:53<8:13:42,  2.83s/it]  7%|▋         | 777/11225 [34:56<8:13:47,  2.84s/it]  7%|▋         | 778/11225 [34:59<8:08:26,  2.81s/it]  7%|▋         | 779/11225 [35:01<7:56:04,  2.73s/it]  7%|▋         | 780/11225 [35:04<7:42:48,  2.66s/it]  7%|▋         | 781/11225 [35:06<7:36:29,  2.62s/it]  7%|▋         | 782/11225 [35:09<7:31:44,  2.60s/it]  7%|▋         | 783/11225 [35:11<7:28:26,  2.58s/it]  7%|▋         | 784/11225 [35:14<7:26:51,  2.57s/it]  7%|▋         | 785/11225 [35:16<7:26:16,  2.56s/it]  7%|▋         | 786/11225 [35:19<7:25:59,  2.56s/it]  7%|▋         | 787/11225 [35:21<7:25:46,  2.56s/it]  7%|▋         | 788/11225 [35:24<7:25:34,  2.56s/it]  7%|▋         | 789/11225 [35:27<7:25:21,  2.56s/it]  7%|▋         | 790/11225 [35:29<7:26:08,  2.57s/it]  7%|▋         | 791/11225 [35:32<7:36:53,  2.63s/it]  7%|▋         | 792/11225 [35:35<7:51:02,  2.71s/it]  7%|▋         | 793/11225 [35:38<7:54:21,  2.73s/it]  7%|▋         | 794/11225 [35:40<8:00:09,  2.76s/it]  7%|▋         | 795/11225 [35:43<8:03:56,  2.78s/it]  7%|▋         | 796/11225 [35:46<8:05:33,  2.79s/it]  7%|▋         | 797/11225 [35:49<8:08:09,  2.81s/it]  7%|▋         | 798/11225 [35:52<8:05:08,  2.79s/it]  7%|▋         | 799/11225 [35:54<8:04:28,  2.79s/it]  7%|▋         | 800/11225 [35:57<8:08:41,  2.81s/it]  7%|▋         | 801/11225 [36:00<8:12:19,  2.83s/it]  7%|▋         | 802/11225 [36:03<8:18:33,  2.87s/it]  7%|▋         | 803/11225 [36:06<8:22:49,  2.89s/it]  7%|▋         | 804/11225 [36:09<8:25:01,  2.91s/it]  7%|▋         | 805/11225 [36:12<8:27:32,  2.92s/it]  7%|▋         | 806/11225 [36:15<8:11:53,  2.83s/it]  7%|▋         | 807/11225 [36:17<8:08:30,  2.81s/it]  7%|▋         | 808/11225 [36:20<8:07:49,  2.81s/it]  7%|▋         | 809/11225 [36:23<7:57:18,  2.75s/it]  7%|▋         | 810/11225 [36:25<7:43:27,  2.67s/it]  7%|▋         | 811/11225 [36:28<7:36:19,  2.63s/it]  7%|▋         | 812/11225 [36:30<7:31:19,  2.60s/it]  7%|▋         | 813/11225 [36:33<7:28:15,  2.58s/it]  7%|▋         | 814/11225 [36:35<7:26:14,  2.57s/it]  7%|▋         | 815/11225 [36:38<7:25:12,  2.57s/it]  7%|▋         | 816/11225 [36:41<7:24:53,  2.56s/it]  7%|▋         | 817/11225 [36:43<7:24:39,  2.56s/it]  7%|▋         | 818/11225 [36:46<7:24:09,  2.56s/it]  7%|▋         | 819/11225 [36:48<7:24:05,  2.56s/it]  7%|▋         | 820/11225 [36:51<7:24:13,  2.56s/it]  7%|▋         | 821/11225 [36:54<7:36:02,  2.63s/it]  7%|▋         | 822/11225 [36:56<7:47:20,  2.70s/it]  7%|▋         | 823/11225 [36:59<7:55:39,  2.74s/it]  7%|▋         | 824/11225 [37:02<7:58:11,  2.76s/it]  7%|▋         | 825/11225 [37:05<8:01:49,  2.78s/it]  7%|▋         | 826/11225 [37:08<8:06:41,  2.81s/it]  7%|▋         | 827/11225 [37:11<8:09:12,  2.82s/it]  7%|▋         | 828/11225 [37:14<8:12:35,  2.84s/it]  7%|▋         | 829/11225 [37:16<8:14:28,  2.85s/it]  7%|▋         | 830/11225 [37:19<8:14:50,  2.86s/it]  7%|▋         | 831/11225 [37:22<8:14:59,  2.86s/it]  7%|▋         | 832/11225 [37:25<8:14:15,  2.85s/it]  7%|▋         | 833/11225 [37:27<7:55:27,  2.75s/it]  7%|▋         | 834/11225 [37:30<7:42:17,  2.67s/it]  7%|▋         | 835/11225 [37:32<7:35:25,  2.63s/it]  7%|▋         | 836/11225 [37:35<7:30:34,  2.60s/it]  7%|▋         | 837/11225 [37:38<7:27:09,  2.58s/it]  7%|▋         | 838/11225 [37:40<7:26:00,  2.58s/it]  7%|▋         | 839/11225 [37:43<7:25:14,  2.57s/it]  7%|▋         | 840/11225 [37:45<7:24:21,  2.57s/it]  7%|▋         | 841/11225 [37:48<7:23:57,  2.57s/it]  8%|▊         | 842/11225 [37:50<7:23:19,  2.56s/it]  8%|▊         | 843/11225 [37:53<7:23:16,  2.56s/it]  8%|▊         | 844/11225 [37:56<7:32:40,  2.62s/it]  8%|▊         | 845/11225 [37:59<7:45:05,  2.69s/it]  8%|▊         | 846/11225 [38:01<7:53:44,  2.74s/it]  8%|▊         | 847/11225 [38:04<7:57:39,  2.76s/it]  8%|▊         | 848/11225 [38:07<7:59:16,  2.77s/it]  8%|▊         | 849/11225 [38:10<8:01:51,  2.79s/it]  8%|▊         | 850/11225 [38:13<8:05:35,  2.81s/it]  8%|▊         | 851/11225 [38:15<8:04:46,  2.80s/it]  8%|▊         | 852/11225 [38:18<8:08:11,  2.82s/it]  8%|▊         | 853/11225 [38:21<8:11:11,  2.84s/it]  8%|▊         | 854/11225 [38:24<8:10:05,  2.84s/it]  8%|▊         | 855/11225 [38:27<8:26:30,  2.93s/it]  8%|▊         | 856/11225 [38:30<8:33:33,  2.97s/it]  8%|▊         | 857/11225 [38:33<8:29:44,  2.95s/it]  8%|▊         | 858/11225 [38:36<8:08:12,  2.83s/it]  8%|▊         | 859/11225 [38:38<7:53:13,  2.74s/it]  8%|▊         | 860/11225 [38:41<7:42:55,  2.68s/it]  8%|▊         | 861/11225 [38:43<7:36:50,  2.64s/it]  8%|▊         | 862/11225 [38:46<7:32:19,  2.62s/it]  8%|▊         | 863/11225 [38:48<7:28:59,  2.60s/it]  8%|▊         | 864/11225 [38:51<7:26:56,  2.59s/it]  8%|▊         | 865/11225 [38:54<7:25:16,  2.58s/it]  8%|▊         | 866/11225 [38:56<7:24:12,  2.57s/it]  8%|▊         | 867/11225 [38:59<7:31:55,  2.62s/it]  8%|▊         | 868/11225 [39:02<7:43:23,  2.68s/it]  8%|▊         | 869/11225 [39:05<7:55:29,  2.75s/it]  8%|▊         | 870/11225 [39:08<8:05:24,  2.81s/it]  8%|▊         | 871/11225 [39:10<8:12:15,  2.85s/it]  8%|▊         | 872/11225 [39:13<8:16:10,  2.88s/it]  8%|▊         | 873/11225 [39:16<8:09:52,  2.84s/it]  8%|▊         | 874/11225 [39:19<7:59:11,  2.78s/it]  8%|▊         | 875/11225 [39:22<7:58:50,  2.78s/it]  8%|▊         | 876/11225 [39:24<8:02:59,  2.80s/it]  8%|▊         | 877/11225 [39:27<8:04:35,  2.81s/it]  8%|▊         | 878/11225 [39:30<8:03:22,  2.80s/it]  8%|▊         | 879/11225 [39:33<8:04:32,  2.81s/it]  8%|▊         | 880/11225 [39:36<8:06:34,  2.82s/it]  8%|▊         | 881/11225 [39:39<8:09:34,  2.84s/it]  8%|▊         | 882/11225 [39:42<8:12:22,  2.86s/it]  8%|▊         | 883/11225 [39:44<8:13:42,  2.86s/it]  8%|▊         | 884/11225 [39:47<8:12:20,  2.86s/it]  8%|▊         | 885/11225 [39:50<7:48:34,  2.72s/it]  8%|▊         | 886/11225 [39:52<7:36:03,  2.65s/it]  8%|▊         | 887/11225 [39:55<7:30:16,  2.61s/it]  8%|▊         | 888/11225 [39:57<7:26:17,  2.59s/it]  8%|▊         | 889/11225 [40:00<7:23:33,  2.57s/it]  8%|▊         | 890/11225 [40:02<7:22:39,  2.57s/it]  8%|▊         | 891/11225 [40:05<7:22:11,  2.57s/it]  8%|▊         | 892/11225 [40:07<7:21:38,  2.56s/it]  8%|▊         | 893/11225 [40:10<7:21:20,  2.56s/it]  8%|▊         | 894/11225 [40:13<7:21:00,  2.56s/it]  8%|▊         | 895/11225 [40:15<7:20:50,  2.56s/it]  8%|▊         | 896/11225 [40:18<7:29:55,  2.61s/it]  8%|▊         | 897/11225 [40:21<7:39:21,  2.67s/it]  8%|▊         | 898/11225 [40:23<7:49:29,  2.73s/it]  8%|▊         | 899/11225 [40:26<7:55:30,  2.76s/it]  8%|▊         | 900/11225 [40:29<7:58:04,  2.78s/it]  8%|▊         | 901/11225 [40:32<7:56:51,  2.77s/it]  8%|▊         | 902/11225 [40:35<8:01:05,  2.80s/it]  8%|▊         | 903/11225 [40:38<8:02:41,  2.81s/it]  8%|▊         | 904/11225 [40:40<8:02:37,  2.81s/it]  8%|▊         | 905/11225 [40:43<8:04:31,  2.82s/it]  8%|▊         | 906/11225 [40:46<8:07:09,  2.83s/it]  8%|▊         | 907/11225 [40:49<8:08:11,  2.84s/it]  8%|▊         | 908/11225 [40:51<7:53:53,  2.76s/it]  8%|▊         | 909/11225 [40:54<7:38:10,  2.66s/it]  8%|▊         | 910/11225 [40:56<7:30:58,  2.62s/it]  8%|▊         | 911/11225 [40:59<7:26:13,  2.60s/it]  8%|▊         | 912/11225 [41:02<7:22:58,  2.58s/it]  8%|▊         | 913/11225 [41:04<7:21:33,  2.57s/it]  8%|▊         | 914/11225 [41:07<7:21:01,  2.57s/it]  8%|▊         | 915/11225 [41:09<7:20:31,  2.56s/it]  8%|▊         | 916/11225 [41:12<7:19:58,  2.56s/it]  8%|▊         | 917/11225 [41:14<7:19:27,  2.56s/it]  8%|▊         | 918/11225 [41:17<7:19:12,  2.56s/it]  8%|▊         | 919/11225 [41:19<7:19:11,  2.56s/it]  8%|▊         | 920/11225 [41:22<7:33:27,  2.64s/it]  8%|▊         | 921/11225 [41:25<7:42:36,  2.69s/it]  8%|▊         | 922/11225 [41:28<7:48:46,  2.73s/it]  8%|▊         | 923/11225 [41:31<7:51:29,  2.75s/it]  8%|▊         | 924/11225 [41:34<7:57:08,  2.78s/it]  8%|▊         | 925/11225 [41:36<8:01:08,  2.80s/it]  8%|▊         | 926/11225 [41:39<8:08:40,  2.85s/it]  8%|▊         | 927/11225 [41:42<8:13:36,  2.88s/it]  8%|▊         | 928/11225 [41:45<8:16:45,  2.89s/it]  8%|▊         | 929/11225 [41:48<8:19:46,  2.91s/it]  8%|▊         | 930/11225 [41:51<8:04:54,  2.83s/it]  8%|▊         | 931/11225 [41:53<7:55:09,  2.77s/it]  8%|▊         | 932/11225 [41:56<7:56:55,  2.78s/it]  8%|▊         | 933/11225 [41:59<7:58:33,  2.79s/it]  8%|▊         | 934/11225 [42:02<8:01:47,  2.81s/it]  8%|▊         | 935/11225 [42:05<8:02:36,  2.81s/it]  8%|▊         | 936/11225 [42:08<8:04:51,  2.83s/it]  8%|▊         | 937/11225 [42:10<7:52:24,  2.76s/it]  8%|▊         | 938/11225 [42:13<7:38:35,  2.67s/it]  8%|▊         | 939/11225 [42:15<7:31:48,  2.64s/it]  8%|▊         | 940/11225 [42:18<7:26:52,  2.61s/it]  8%|▊         | 941/11225 [42:20<7:23:20,  2.59s/it]  8%|▊         | 942/11225 [42:23<7:21:51,  2.58s/it]  8%|▊         | 943/11225 [42:25<7:20:56,  2.57s/it]  8%|▊         | 944/11225 [42:28<7:20:04,  2.57s/it]  8%|▊         | 945/11225 [42:31<7:19:28,  2.56s/it]  8%|▊         | 946/11225 [42:33<7:18:58,  2.56s/it]  8%|▊         | 947/11225 [42:36<7:18:40,  2.56s/it]  8%|▊         | 948/11225 [42:38<7:25:03,  2.60s/it]  8%|▊         | 949/11225 [42:41<7:36:51,  2.67s/it]  8%|▊         | 950/11225 [42:44<7:48:05,  2.73s/it]  8%|▊         | 951/11225 [42:47<7:51:52,  2.76s/it]  8%|▊         | 952/11225 [42:50<7:54:48,  2.77s/it]  8%|▊         | 953/11225 [42:53<8:01:11,  2.81s/it]  8%|▊         | 954/11225 [42:55<8:03:15,  2.82s/it]  9%|▊         | 955/11225 [42:58<8:06:36,  2.84s/it]  9%|▊         | 956/11225 [43:01<8:06:04,  2.84s/it]  9%|▊         | 957/11225 [43:04<8:03:25,  2.82s/it]  9%|▊         | 958/11225 [43:07<8:04:02,  2.83s/it]  9%|▊         | 959/11225 [43:10<8:07:02,  2.85s/it]  9%|▊         | 960/11225 [43:12<8:06:42,  2.84s/it]  9%|▊         | 961/11225 [43:15<7:44:13,  2.71s/it]  9%|▊         | 962/11225 [43:17<7:35:05,  2.66s/it]  9%|▊         | 963/11225 [43:20<7:28:50,  2.62s/it]  9%|▊         | 964/11225 [43:23<7:24:17,  2.60s/it]  9%|▊         | 965/11225 [43:25<7:21:33,  2.58s/it]  9%|▊         | 966/11225 [43:28<7:20:49,  2.58s/it]  9%|▊         | 967/11225 [43:30<7:20:21,  2.58s/it]  9%|▊         | 968/11225 [43:33<7:19:29,  2.57s/it]  9%|▊         | 969/11225 [43:35<7:18:56,  2.57s/it]Epoch 0, Loss: 0.8267473578453064
Epoch 0, Loss: 1.725260853767395
Epoch 0, Loss: 1.3593353033065796
Epoch 0, Loss: 1.265404462814331
Epoch 0, Loss: 1.6375919580459595
Epoch 0, Loss: 1.6309982538223267
Epoch 0, Loss: 1.818745732307434
Epoch 0, Loss: 1.9802268743515015
Epoch 0, Loss: 1.1772583723068237
Epoch 0, Loss: 1.1551494598388672
Epoch 0, Loss: 1.8794015645980835
Epoch 0, Loss: 1.8742481470108032
Epoch 0, Loss: 1.780296802520752
Epoch 0, Loss: 1.99392831325531
Epoch 0, Loss: 1.4848109483718872
Epoch 0, Loss: 1.3075518608093262
Epoch 0, Loss: 0.8881891369819641
Epoch 0, Loss: 1.8062341213226318
Epoch 0, Loss: 1.5117753744125366
Epoch 0, Loss: 1.6434229612350464
Epoch 0, Loss: 1.724014163017273
Epoch 0, Loss: 1.351638913154602
Epoch 0, Loss: 1.135671854019165
Epoch 0, Loss: 1.824112057685852
Epoch 0, Loss: 1.8445721864700317
Epoch 0, Loss: 1.540364384651184
Epoch 0, Loss: 1.9018728733062744
Epoch 0, Loss: 1.803121566772461
Epoch 0, Loss: 1.6843758821487427
Epoch 0, Loss: 1.5521221160888672
Epoch 0, Loss: 1.377200722694397
Epoch 0, Loss: 1.8616418838500977
Epoch 0, Loss: 1.5713050365447998
Epoch 0, Loss: 1.5606328248977661
Epoch 0, Loss: 1.5503569841384888
Epoch 0, Loss: 1.0954617261886597
Epoch 0, Loss: 1.3420170545578003
Epoch 0, Loss: 1.559173345565796
Epoch 0, Loss: 1.743888020515442
Epoch 0, Loss: 1.8278329372406006
Epoch 0, Loss: 1.8386043310165405
Epoch 0, Loss: 1.4407342672348022
Epoch 0, Loss: 1.355116367340088
Epoch 0, Loss: 1.4259766340255737
Epoch 0, Loss: 1.5829715728759766
Epoch 0, Loss: 1.6489814519882202
Epoch 0, Loss: 1.3989017009735107
Epoch 0, Loss: 1.4977763891220093
Epoch 0, Loss: 1.9293156862258911
Epoch 0, Loss: 1.6210222244262695
Epoch 0, Loss: 1.646977424621582
Epoch 0, Loss: 1.682984471321106
Epoch 0, Loss: 1.6613105535507202
Epoch 0, Loss: 2.263932228088379
Epoch 0, Loss: 1.3757082223892212
Epoch 0, Loss: 2.063068389892578
Epoch 0, Loss: 1.5319122076034546
Epoch 0, Loss: 1.8096843957901
Epoch 0, Loss: 1.8586567640304565
Epoch 0, Loss: 1.2834019660949707
Epoch 0, Loss: 2.01151442527771
Epoch 0, Loss: 1.8604555130004883
Epoch 0, Loss: 1.630239486694336
Epoch 0, Loss: 0.8315016031265259
Epoch 0, Loss: 1.8908977508544922
Epoch 0, Loss: 1.4679977893829346
Epoch 0, Loss: 1.8886380195617676
Epoch 0, Loss: 1.3116474151611328
Epoch 0, Loss: 1.4368658065795898
Epoch 0, Loss: 1.478934645652771
Epoch 0, Loss: 1.255519986152649
Epoch 0, Loss: 1.1493197679519653
Epoch 0, Loss: 1.873057246208191
Epoch 0, Loss: 1.5592012405395508
Epoch 0, Loss: 1.6259822845458984
Epoch 0, Loss: 1.3435900211334229
Epoch 0, Loss: 1.552876353263855
Epoch 0, Loss: 1.8800218105316162
Epoch 0, Loss: 1.5927902460098267
Epoch 0, Loss: 1.9737615585327148
Epoch 0, Loss: 1.6611526012420654
Epoch 0, Loss: 1.7762118577957153
Epoch 0, Loss: 1.635798454284668
Epoch 0, Loss: 1.3966519832611084
Epoch 0, Loss: 1.163295865058899
Epoch 0, Loss: 1.8639132976531982
Epoch 0, Loss: 1.837814450263977
Epoch 0, Loss: 1.1885950565338135
Epoch 0, Loss: 1.776045560836792
Epoch 0, Loss: 1.5697218179702759
Epoch 0, Loss: 1.3508704900741577
Epoch 0, Loss: 2.0145537853240967
Epoch 0, Loss: 0.9526340961456299
Epoch 0, Loss: 1.6270458698272705
Epoch 0, Loss: 1.5515573024749756
Epoch 0, Loss: 1.8468221426010132
Epoch 0, Loss: 1.651479721069336
Epoch 0, Loss: 1.7869441509246826
Epoch 0, Loss: 2.1465227603912354
Epoch 0, Loss: 1.8402823209762573
Epoch 0, Loss: 1.6851168870925903
Epoch 0, Loss: 1.5454161167144775
Epoch 0, Loss: 1.6349327564239502
Epoch 0, Loss: 1.5277217626571655
Epoch 0, Loss: 1.5043550729751587
Epoch 0, Loss: 1.5453293323516846
Epoch 0, Loss: 1.7819241285324097
Epoch 0, Loss: 1.7859467267990112
Epoch 0, Loss: 1.9104770421981812
Epoch 0, Loss: 1.4466184377670288
Epoch 0, Loss: 1.819636583328247
Epoch 0, Loss: 1.591201901435852
Epoch 0, Loss: 1.1783595085144043
Epoch 0, Loss: 1.6086406707763672
Epoch 0, Loss: 1.3697373867034912
Epoch 0, Loss: 1.8809186220169067
Epoch 0, Loss: 1.6303356885910034
Epoch 0, Loss: 1.668847680091858
Epoch 0, Loss: 1.6912130117416382
Epoch 0, Loss: 1.7353063821792603
Epoch 0, Loss: 1.7886614799499512
Epoch 0, Loss: 1.021009087562561
Epoch 0, Loss: 1.6608436107635498
Epoch 0, Loss: 1.5217615365982056
Epoch 0, Loss: 1.639382004737854
Epoch 0, Loss: 1.786583662033081
Epoch 0, Loss: 1.2654894590377808
Epoch 0, Loss: 1.1920100450515747
Epoch 0, Loss: 1.960017204284668
Epoch 0, Loss: 2.0348920822143555
Epoch 0, Loss: 1.3531551361083984
Epoch 0, Loss: 2.011953353881836
Epoch 0, Loss: 1.68816077709198
Epoch 0, Loss: 1.5863683223724365
Epoch 0, Loss: 1.8250415325164795
Epoch 0, Loss: 1.4168167114257812
Epoch 0, Loss: 1.5835719108581543
Epoch 0, Loss: 1.6673318147659302
Epoch 0, Loss: 2.0506341457366943
Epoch 0, Loss: 1.48435378074646
Epoch 0, Loss: 1.6110856533050537
Epoch 0, Loss: 1.2451695203781128
Epoch 0, Loss: 1.6845232248306274
Epoch 0, Loss: 1.3750159740447998
Epoch 0, Loss: 1.5558933019638062
Epoch 0, Loss: 1.8517695665359497
Epoch 0, Loss: 1.7203768491744995
Epoch 0, Loss: 1.9508131742477417
Epoch 0, Loss: 1.6476690769195557
Epoch 0, Loss: 1.1590052843093872
Epoch 0, Loss: 1.2195961475372314
Epoch 0, Loss: 1.6172508001327515
Epoch 0, Loss: 1.9124648571014404
Epoch 0, Loss: 1.8205310106277466
Epoch 0, Loss: 1.4626569747924805
Epoch 0, Loss: 1.3928613662719727
Epoch 0, Loss: 1.4740955829620361
Epoch 0, Loss: 1.541355013847351
Epoch 0, Loss: 2.054354190826416
Epoch 0, Loss: 1.4284411668777466
Epoch 0, Loss: 1.8323520421981812
Epoch 0, Loss: 1.7834038734436035
Epoch 0, Loss: 1.643570065498352
Epoch 0, Loss: 1.8412305116653442
Epoch 0, Loss: 1.4331185817718506
Epoch 0, Loss: 1.9785130023956299
Epoch 0, Loss: 1.5694173574447632
Epoch 0, Loss: 1.5304691791534424
Epoch 0, Loss: 1.4941133260726929
Epoch 0, Loss: 1.331933856010437
Epoch 0, Loss: 1.8347035646438599
Epoch 0, Loss: 1.8412901163101196
Epoch 0, Loss: 1.4570220708847046
Epoch 0, Loss: 1.149173378944397
Epoch 0, Loss: 1.9344830513000488
Epoch 0, Loss: 1.5776503086090088
Epoch 0, Loss: 1.5176787376403809
Epoch 0, Loss: 1.7017375230789185
Epoch 0, Loss: 1.8962154388427734
Epoch 0, Loss: 1.6326723098754883
Epoch 0, Loss: 1.7429231405258179
Epoch 0, Loss: 2.107947587966919
Epoch 0, Loss: 1.512215495109558
Epoch 0, Loss: 1.5583149194717407
Epoch 0, Loss: 2.0815818309783936
Epoch 0, Loss: 1.921587347984314
Epoch 0, Loss: 1.7034051418304443
Epoch 0, Loss: 1.739876389503479
Epoch 0, Loss: 1.7797784805297852
Epoch 0, Loss: 1.3588521480560303
Epoch 0, Loss: 1.6827976703643799
Epoch 0, Loss: 2.01282000541687
Epoch 0, Loss: 1.6839205026626587
Epoch 0, Loss: 1.8012888431549072
Epoch 0, Loss: 1.243390679359436
Epoch 0, Loss: 1.3499648571014404
Epoch 0, Loss: 1.8541336059570312
Epoch 0, Loss: 1.5083129405975342
Epoch 0, Loss: 1.4416321516036987
Epoch 0, Loss: 1.3189640045166016
Epoch 0, Loss: 1.1169296503067017
Epoch 0, Loss: 1.2850449085235596
Epoch 0, Loss: 1.9472402334213257
Epoch 0, Loss: 1.6520463228225708
Epoch 0, Loss: 1.710957407951355
Epoch 0, Loss: 0.8303261399269104
Epoch 0, Loss: 1.675745964050293
Epoch 0, Loss: 1.6025694608688354
Epoch 0, Loss: 1.7356773614883423
Epoch 0, Loss: 1.7067923545837402
Epoch 0, Loss: 1.5221730470657349
Epoch 0, Loss: 1.7783558368682861
Epoch 0, Loss: 1.7582005262374878
Epoch 0, Loss: 1.7167575359344482
Epoch 0, Loss: 1.9367971420288086
Epoch 0, Loss: 1.7525885105133057
Epoch 0, Loss: 2.002110242843628
Epoch 0, Loss: 1.8000022172927856
Epoch 0, Loss: 1.4065051078796387
Epoch 0, Loss: 1.6492418050765991
Epoch 0, Loss: 1.8333876132965088
Epoch 0, Loss: 1.6384016275405884
Epoch 0, Loss: 1.3767729997634888
Epoch 0, Loss: 1.7430943250656128
Epoch 0, Loss: 1.836226224899292
Epoch 0, Loss: 1.4147636890411377
Epoch 0, Loss: 1.8851739168167114
Epoch 0, Loss: 1.6539528369903564
Epoch 0, Loss: 1.7646721601486206
Epoch 0, Loss: 1.7075870037078857
Epoch 0, Loss: 1.336473822593689
Epoch 0, Loss: 1.6386165618896484
Epoch 0, Loss: 1.9233697652816772
Epoch 0, Loss: 1.6841896772384644
Epoch 0, Loss: 1.8735333681106567
Epoch 0, Loss: 1.9134477376937866
Epoch 0, Loss: 1.4629158973693848
Epoch 0, Loss: 1.336795449256897
Epoch 0, Loss: 1.930415153503418
Epoch 0, Loss: 1.2452410459518433
Epoch 0, Loss: 1.5130805969238281
Epoch 0, Loss: 1.708546757698059
